temperatura_C,vibracion_mm_s,presion_bar,corriente_A,horas_desde_mantenimiento,rpm,etiqueta
68.026,1.465,5.125,14.135,94.585,1822.158,0
61.530,2.814,5.838,17.052,1865.927,1682.864,0
59.105,1.851,6.728,15.496,1237.260,1842.272,0
59.260,2.655,5.630,13.236,1698.879,1755.965,0
74.288,2.445,6.196,14.860,1229.028,1716.225,0
61.618,2.115,5.272,13.142,1000.819,1767.030,0
72.401,6.345,5.582,15.922,2416.977,1603.873,1
58.909,2.728,6.206,11.278,143.200,1805.509,0
53.216,1.673,6.136,11.778,818.749,1732.794,0
61.516,2.552,5.960,12.605,1590.229,1700.144,0
64.255,2.112,5.631,14.788,334.611,1706.316,0
60.931,2.578,5.169,15.103,1496.369,1688.488,0
55.316,2.010,7.086,13.131,803.543,1813.856,0
65.413,1.720,6.674,11.998,1350.867,1781.348,0
65.950,2.500,6.269,13.955,386.342,1713.613,0
62.969,2.908,5.964,13.685,30.499,1769.817,0
64.841,2.054,5.328,15.404,1196.468,1790.518,0
58.676,2.202,5.172,14.006,566.761,1644.850,0
53.569,1.737,6.189,16.281,1356.747,1704.340,0
61.566,2.459,5.714,12.085,917.549,1657.522,0
55.416,2.215,6.627,12.821,537.603,1727.657,0
72.152,2.354,5.675,14.433,857.162,1683.484,0
55.508,1.779,5.808,10.530,1858.358,1728.292,0
72.730,2.950,6.367,12.067,1808.754,1775.230,0
66.543,3.027,6.118,12.387,1093.126,1796.336,0
72.456,2.922,6.569,15.371,317.336,1802.356,0
59.743,1.972,6.986,14.203,1037.735,1775.261,0
66.063,7.385,5.081,15.570,1929.567,1726.356,1
66.565,2.070,5.586,14.807,1927.230,1666.329,0
57.637,2.143,5.894,15.240,663.982,1722.743,0
62.800,2.385,6.019,13.658,960.206,1691.617,0
61.576,1.557,6.473,13.024,470.739,1805.949,0
63.493,2.606,6.652,13.477,1657.243,1743.386,0
65.820,2.484,5.685,15.824,1095.221,1893.292,0
58.716,1.730,5.781,14.130,115.212,1766.843,0
65.053,2.808,6.799,12.021,651.307,1727.145,0
61.143,2.828,5.416,15.992,703.264,1635.419,0
64.572,1.314,5.982,15.722,506.760,1781.281,0
68.487,2.293,6.330,14.837,258.888,1765.334,0
57.979,1.520,5.490,14.772,1978.090,1727.243,0
66.858,1.995,6.555,13.194,1298.950,1688.732,0
54.623,2.607,6.200,13.906,1849.497,1837.820,0
72.740,2.745,6.360,17.333,398.544,1799.172,0
59.735,1.735,6.272,16.114,1628.310,1775.246,0
64.105,2.009,6.501,15.288,250.816,1771.436,0
66.454,2.643,5.065,12.670,502.557,1773.279,0
59.467,2.108,5.204,15.123,1076.057,1867.776,0
68.834,2.011,5.937,14.815,135.796,1803.418,0
52.979,1.878,5.934,11.699,673.695,1753.000,0
54.384,2.781,6.286,11.605,478.574,1736.328,0
67.908,2.659,6.356,15.698,1153.040,1789.677,0
63.741,1.740,6.688,13.495,859.905,1697.394,0
65.253,2.553,5.505,10.738,824.247,1796.883,0
65.067,1.866,6.194,15.212,1345.557,1797.193,0
65.568,2.477,5.982,14.855,1100.483,1728.484,0
61.070,1.951,6.340,13.632,857.764,1709.422,0
58.726,1.420,6.244,16.270,717.241,1870.959,0
61.923,1.966,5.455,11.830,1511.321,1751.231,0
68.142,2.257,5.894,10.861,1572.136,1785.663,0
78.175,4.506,4.420,19.952,848.428,1768.895,1
56.103,1.816,4.645,15.196,1864.455,1862.699,0
61.730,1.907,5.884,16.057,1926.775,1721.791,0
63.042,2.149,7.288,17.356,241.368,1652.580,0
57.847,2.555,5.758,13.059,363.805,1875.550,0
65.732,3.308,6.425,14.331,1648.410,1673.878,0
65.705,1.953,6.281,14.687,1610.572,1813.711,0
62.925,2.581,6.139,14.315,799.045,1723.567,0
63.496,2.084,6.430,16.691,734.691,1736.308,0
64.360,2.644,6.841,15.172,1224.881,1757.532,0
49.272,3.354,6.235,11.820,234.302,1742.448,0
65.748,2.252,6.332,13.912,458.888,1712.872,0
77.228,4.462,4.916,21.652,1274.588,1730.544,1
60.757,2.520,6.572,11.430,873.739,1855.035,0
60.917,2.683,6.591,11.198,41.520,1735.593,0
62.589,3.306,6.761,14.539,1151.230,1675.112,0
75.717,8.189,6.765,12.942,2000.757,1406.759,1
58.489,2.259,6.660,13.443,568.726,1689.098,0
73.476,2.843,6.292,13.353,599.396,1750.673,0
61.467,2.444,5.375,13.683,11.777,1808.881,0
50.630,1.313,5.791,13.200,1677.367,1661.512,0
64.363,2.316,5.089,14.215,721.489,1718.648,0
81.199,2.846,4.955,19.575,1270.797,1689.218,1
65.460,1.809,6.359,14.754,281.727,1805.182,0
88.613,2.475,4.553,12.991,1407.463,1751.539,1
69.565,2.740,6.224,13.614,713.954,1692.652,0
72.300,7.366,5.834,11.959,1622.369,1625.316,1
62.587,2.494,6.635,15.893,1638.399,1760.233,0
56.853,2.459,5.650,11.355,659.470,1763.432,0
64.239,3.169,5.948,13.599,598.965,1843.562,0
54.016,2.028,6.719,14.016,535.369,1740.361,0
66.048,2.616,5.416,13.817,1517.567,1720.498,0
67.725,1.943,5.775,13.592,1148.834,1712.473,0
63.496,2.394,6.104,12.498,878.200,1693.284,0
57.765,2.878,6.040,14.439,1860.085,1700.104,0
59.802,3.108,5.458,13.349,1916.935,1745.892,0
66.933,1.607,5.741,13.576,600.227,1848.213,0
62.265,1.828,6.000,14.306,940.376,1685.057,0
65.780,2.225,6.170,15.891,868.455,1734.683,0
65.446,1.563,5.866,11.868,1356.823,1885.798,0
60.859,1.833,5.453,13.422,1197.620,1697.236,0
60.785,1.407,5.831,15.050,0.009,1766.673,0
52.555,1.580,6.499,12.280,736.930,1737.347,0
56.523,2.612,5.675,15.511,1941.214,1786.393,0
62.204,1.930,6.498,11.645,1288.770,1665.783,0
69.945,2.184,5.651,15.175,330.938,1771.853,0
58.676,2.129,5.864,10.752,56.659,1851.870,0
61.419,2.129,6.095,12.891,1662.850,1817.331,0
54.850,1.875,5.920,13.600,630.144,1692.003,0
56.451,1.387,6.455,15.121,1794.567,1710.380,0
55.919,1.623,6.251,15.310,602.399,1840.305,0
60.809,3.023,5.887,13.836,1170.246,1726.264,0
57.153,2.383,7.089,13.595,1401.048,1810.720,0
54.927,2.950,6.097,13.759,1619.284,1755.107,0
64.576,2.492,5.340,17.230,883.974,1703.670,0
60.613,1.760,6.227,14.286,1412.568,1638.465,0
61.714,2.088,6.688,11.971,1399.792,1868.456,0
53.558,1.637,6.111,15.459,1334.830,1813.039,0
67.459,3.037,5.219,14.172,716.846,1803.914,0
82.439,2.384,4.774,22.818,1439.820,1716.725,1
70.728,4.790,5.155,17.052,1841.359,1670.364,1
65.514,1.874,5.913,14.327,1581.778,1647.720,0
69.739,3.178,5.832,14.834,704.812,1836.707,0
63.118,2.059,5.486,14.927,1402.413,1716.938,0
58.178,0.690,6.018,12.929,973.737,1720.256,0
66.343,2.063,7.124,14.965,346.218,1769.304,0
85.534,1.947,5.957,22.987,1503.680,1700.264,1
65.359,2.126,6.468,14.632,1884.247,1767.530,0
63.846,1.977,5.563,14.930,613.180,1777.742,0
71.546,7.717,6.809,17.951,2022.622,1695.302,1
60.235,2.352,6.284,14.076,466.855,1718.003,0
75.373,2.504,6.247,12.613,1680.832,1808.674,0
55.867,1.790,5.601,15.046,665.854,1812.487,0
65.458,2.187,5.770,14.642,1580.078,1726.921,0
69.247,2.482,6.431,13.328,1892.618,1766.607,0
58.482,1.603,6.301,13.999,1174.635,1578.219,0
64.237,1.740,6.181,13.226,666.321,1776.797,0
62.787,2.596,6.244,16.862,1303.177,1642.601,0
62.414,2.068,5.933,14.446,814.721,1863.415,0
57.421,1.597,6.787,14.171,1158.549,1729.731,0
58.728,2.175,5.636,14.538,146.877,1798.619,0
61.510,1.865,6.368,16.088,1610.891,1693.420,0
63.050,2.667,6.048,12.359,1007.155,1831.072,0
56.314,0.960,5.787,11.708,1085.268,1808.174,0
62.716,2.272,5.458,14.241,4.609,1684.187,0
64.373,2.963,5.318,14.544,1964.779,1735.449,0
68.990,2.581,5.540,14.239,564.358,1752.075,0
65.077,2.304,5.756,15.177,1938.436,1707.653,0
69.483,6.425,6.012,13.636,2429.867,1548.882,1
99.161,2.996,5.344,17.149,827.412,1695.671,1
61.859,2.525,6.476,11.017,574.318,1771.470,0
61.334,2.721,5.902,13.043,547.701,1803.925,0
59.130,1.778,5.208,14.402,1517.424,1710.942,0
59.608,1.599,5.840,14.193,1365.635,1732.999,0
69.235,2.570,6.258,16.424,883.932,1729.399,0
70.682,2.471,5.692,13.142,1997.072,1780.915,0
67.967,2.536,5.417,12.456,1986.772,1751.763,0
57.505,2.182,6.055,12.157,1707.043,1797.976,0
64.132,1.848,6.407,11.927,1411.512,1785.575,0
55.476,1.565,5.537,12.657,424.759,1707.954,0
58.722,2.386,6.156,13.536,625.038,1778.844,0
60.978,1.860,6.271,15.078,555.805,1876.806,0
64.335,2.433,6.381,14.375,922.221,1695.943,0
57.437,2.025,4.748,13.155,862.534,1730.141,0
63.361,1.899,6.344,15.380,970.769,1674.381,0
56.411,2.055,5.254,14.995,744.230,1716.812,0
61.745,1.773,6.230,12.909,394.420,1697.422,0
65.011,2.489,5.179,14.970,1750.686,1749.481,0
57.921,2.112,6.593,10.543,939.686,1835.760,0
64.250,2.027,7.382,14.141,410.843,1779.979,0
59.946,1.388,5.923,14.402,1819.912,1671.370,0
63.613,2.941,4.850,12.660,1350.028,1844.747,0
65.831,1.945,5.733,15.411,1324.215,1779.800,0
64.278,2.581,6.061,14.693,1707.364,1629.292,0
66.229,1.101,5.909,13.691,1492.677,1731.193,0
71.497,2.219,5.526,14.881,1167.024,1719.578,0
66.835,2.850,6.307,13.795,1142.136,1750.654,0
73.170,2.810,5.839,16.575,251.193,1658.318,0
60.059,2.256,6.806,16.014,1017.632,1727.137,0
58.240,1.608,6.509,13.359,909.267,1816.267,0
53.139,1.353,5.800,13.441,479.843,1707.989,0
64.583,1.934,6.236,17.685,813.207,1776.981,0
64.286,2.412,6.055,12.132,1425.466,1638.979,0
62.493,2.064,5.586,14.633,1862.416,1764.392,0
66.968,2.858,5.786,14.239,965.579,1666.561,0
70.947,1.615,5.023,14.475,32.376,1792.466,0
62.320,1.111,5.263,14.662,256.220,1693.472,0
64.063,2.348,6.782,12.787,1376.369,1856.382,0
62.143,2.052,5.830,12.854,1926.765,1789.373,0
56.542,1.156,6.191,16.127,1804.344,1687.381,0
64.541,2.164,6.056,15.727,36.674,1762.675,0
62.432,2.590,6.692,14.654,155.322,1788.643,0
63.729,2.432,5.660,14.593,922.959,1742.161,0
56.109,2.489,5.714,14.157,1291.604,1732.214,0
61.051,1.776,5.936,16.122,122.357,1798.536,0
64.652,2.630,6.318,16.764,635.077,1719.513,0
73.980,3.962,6.141,16.155,1819.540,1795.551,0
94.132,3.651,4.877,19.774,1293.832,1722.873,1
66.096,2.808,5.943,11.203,1609.374,1902.261,0
62.066,2.209,5.414,12.719,1889.965,1775.771,0
52.802,2.010,6.296,11.566,227.833,1831.620,0
61.889,1.945,5.994,10.952,1256.124,1730.307,0
72.197,8.212,5.447,13.697,2360.364,1738.794,1
62.016,2.165,5.540,15.873,1133.789,1780.122,0
63.012,2.188,5.518,14.474,976.003,1772.312,0
63.919,1.758,6.157,15.916,281.208,1672.598,0
63.349,1.796,6.626,14.040,1129.231,1809.131,0
62.992,2.620,5.517,16.461,1952.762,1763.129,0
62.246,2.241,6.029,14.543,458.716,1783.150,0
65.556,2.422,6.021,14.168,1919.833,1853.114,0
55.293,2.618,6.229,13.112,475.260,1752.405,0
70.685,2.060,5.574,12.309,1060.535,1671.244,0
67.044,1.374,5.656,14.153,971.852,1793.672,0
51.328,2.005,5.983,13.713,977.486,1801.970,0
69.404,2.308,5.617,13.176,202.695,1605.347,0
59.429,1.622,6.911,12.635,612.493,1716.359,0
67.598,2.994,5.610,16.025,1631.546,1699.819,0
58.094,1.525,5.954,14.164,768.579,1805.027,0
56.200,2.107,5.585,12.999,105.359,1753.636,0
57.010,1.518,5.987,12.808,617.148,1857.811,0
60.185,1.093,6.327,15.877,1614.805,1757.664,0
62.182,1.723,6.870,17.034,1547.931,1670.678,0
57.615,1.656,6.856,14.227,49.389,1779.443,0
93.269,3.650,5.614,21.679,1065.889,1792.870,1
54.732,1.694,5.957,11.374,1386.773,1756.697,0
62.395,2.352,6.536,11.437,1537.256,1756.421,0
61.154,2.775,5.824,10.431,405.354,1786.359,0
58.152,1.810,5.387,14.578,223.712,1772.721,0
68.506,2.628,5.943,16.278,1470.944,1763.460,0
61.467,2.287,6.577,15.122,1707.692,1821.278,0
59.119,2.538,5.980,13.253,120.775,1718.318,0
57.326,2.449,5.293,14.380,349.571,1818.226,0
65.193,2.677,6.094,15.126,1396.857,1757.941,0
80.281,3.537,5.678,18.563,1103.946,1747.797,1
60.442,2.318,5.533,14.836,931.929,1752.353,0
61.925,1.968,5.948,10.741,256.638,1686.970,0
63.854,2.184,6.812,15.283,1680.710,1660.993,0
67.674,8.932,4.759,12.798,1579.017,1529.526,1
65.424,2.327,5.190,14.321,281.093,1749.940,0
69.377,2.137,6.839,14.474,1582.943,1715.099,0
65.437,2.595,5.790,17.389,1202.009,1798.295,0
53.498,2.033,5.529,12.529,739.396,1642.487,0
56.417,2.606,6.587,12.511,699.309,1769.208,0
57.282,1.999,6.783,14.518,866.225,1772.971,0
68.424,2.862,6.038,15.009,1614.921,1833.305,0
63.692,2.370,6.126,15.433,1622.775,1737.078,0
57.113,1.693,5.995,14.727,1659.151,1731.506,0
65.714,1.952,6.220,14.270,62.664,1689.494,0
58.520,2.456,6.938,14.713,904.886,1769.902,0
64.663,3.337,6.141,15.460,1723.263,1644.135,0
57.433,1.838,5.878,14.480,522.171,1735.928,0
59.995,1.723,5.736,14.627,47.304,1725.273,0
61.759,2.468,5.465,13.384,465.146,1738.277,0
60.100,2.840,6.463,12.388,901.631,1868.045,0
62.765,2.444,5.154,15.391,316.733,1805.831,0
68.974,2.692,5.652,13.860,980.221,1797.202,0
61.230,1.538,5.439,14.080,408.683,1841.776,0
80.391,3.407,5.467,18.079,1973.341,1596.497,1
65.659,2.277,6.278,14.664,1042.656,1790.492,0
60.471,2.415,6.164,11.900,966.845,1776.326,0
61.700,2.158,6.146,14.251,785.120,1807.328,0
63.733,2.849,7.530,13.142,1192.700,1634.500,0
63.249,1.559,5.833,15.178,495.478,1766.379,0
63.054,2.691,5.802,12.762,1220.725,1751.955,0
62.614,1.927,6.703,14.005,1983.560,1791.566,0
55.412,1.572,4.411,14.263,1778.826,1742.130,0
70.631,2.552,6.831,11.864,466.067,1754.689,0
64.243,1.613,5.963,13.345,159.025,1747.460,0
55.720,1.925,5.317,12.573,751.029,1784.053,0
64.747,3.048,5.938,13.806,314.896,1717.503,0
63.284,1.802,5.615,16.725,388.470,1776.885,0
60.420,1.229,5.893,14.701,1163.229,1762.878,0
69.371,1.903,4.810,13.163,1280.339,1692.033,0
63.549,1.563,5.318,16.438,732.459,1755.667,0
60.470,1.847,5.457,14.674,227.089,1670.598,0
69.537,2.332,5.252,12.951,7.727,1760.831,0
59.132,1.376,6.438,13.790,404.671,1693.738,0
64.232,2.406,5.843,13.961,770.651,1633.660,0
56.774,1.658,5.937,13.330,354.682,1729.264,0
59.834,2.120,5.867,11.861,682.971,1781.011,0
62.575,2.037,6.508,14.958,1962.097,1689.929,0
68.495,2.422,6.678,12.662,647.896,1748.788,0
63.730,2.367,7.521,14.279,1805.631,1730.822,0
59.382,2.564,5.901,15.391,1787.249,1698.402,0
65.375,1.859,6.342,15.111,1070.219,1703.280,0
65.244,1.644,6.717,15.151,878.024,1813.012,0
65.706,1.648,6.048,14.632,441.610,1773.497,0
53.523,1.873,6.386,13.400,1051.920,1550.912,0
68.327,2.762,5.969,13.212,294.646,1767.076,0
59.998,2.386,6.313,14.708,1218.363,1793.773,0
64.912,2.730,5.735,13.882,1342.179,1761.833,0
67.191,2.045,5.761,13.344,616.754,1785.933,0
62.062,2.230,6.326,13.281,1155.683,1745.869,0
54.701,2.449,6.095,14.037,1807.824,1723.300,0
50.821,1.183,5.943,12.478,300.124,1747.492,0
59.160,2.242,5.864,11.628,210.725,1780.365,0
64.619,5.125,5.571,14.058,1902.005,1621.562,1
62.406,1.700,6.401,12.760,619.693,1678.927,0
83.283,2.684,3.915,18.264,1513.004,1723.557,1
62.977,2.929,5.498,14.112,1152.333,1681.678,0
54.099,1.888,6.280,12.689,1550.921,1680.099,0
66.812,6.349,4.830,13.866,2393.878,1640.373,1
59.051,2.881,5.779,12.097,1999.279,1708.992,0
61.055,2.466,5.964,14.706,1135.597,1753.376,0
63.656,2.649,6.284,15.695,1227.631,1712.397,0
58.378,1.404,6.137,16.227,230.813,1678.726,0
64.454,2.506,5.504,14.724,48.404,1706.704,0
70.423,2.238,6.778,16.839,1830.200,1640.193,0
61.137,1.880,5.759,14.482,849.115,1708.329,0
74.814,7.838,5.750,15.864,2028.614,1839.116,1
63.234,2.826,5.301,13.418,15.446,1769.277,0
58.013,2.218,6.062,16.171,1318.441,1746.412,0
59.277,1.401,5.463,13.706,0.470,1756.626,0
61.200,2.298,6.247,12.878,1066.269,1688.933,0
67.419,2.037,5.957,16.854,1770.901,1707.043,0
60.455,2.619,6.481,12.818,1774.116,1731.233,0
72.834,2.514,5.381,14.746,1663.991,1812.252,0
62.882,2.423,6.308,12.870,1724.689,1862.731,0
63.920,1.218,5.367,12.405,503.799,1741.178,0
67.837,1.344,5.682,13.301,1397.832,1813.078,0
62.206,1.865,5.407,14.608,1417.556,1717.947,0
67.126,2.050,5.955,14.888,1905.879,1829.278,0
70.495,2.057,5.655,13.650,1744.402,1816.607,0
66.004,2.481,5.281,15.973,214.805,1662.885,0
59.340,1.637,6.064,12.292,232.127,1687.849,0
61.409,2.422,5.778,14.043,1288.938,1657.779,0
63.003,2.296,5.118,14.706,153.127,1745.761,0
54.035,2.274,6.367,14.475,234.917,1755.465,0
62.449,2.681,5.502,14.248,888.704,1877.626,0
62.985,2.060,5.561,15.501,1070.039,1775.811,0
62.604,2.537,5.896,15.424,897.934,1737.202,0
66.575,2.201,5.637,10.666,1643.757,1720.543,0
63.196,1.720,5.347,14.498,325.091,1830.898,0
66.827,1.825,5.861,14.734,1088.585,1794.556,0
59.905,1.399,6.270,11.002,1915.784,1727.305,0
65.162,2.184,6.391,13.861,1811.842,1813.896,0
64.563,2.182,6.515,13.523,548.192,1752.556,0
58.038,1.969,6.494,12.941,1141.933,1664.553,0
65.796,2.157,5.690,14.645,19.046,1676.850,0
58.103,1.962,6.092,14.566,375.406,1784.024,0
59.626,2.682,5.983,13.053,1955.188,1658.026,0
67.613,8.083,5.841,13.301,2579.569,1537.936,1
61.320,1.704,6.542,12.191,248.932,1758.981,0
55.005,2.058,6.523,13.680,531.851,1742.334,0
70.595,2.452,5.631,14.738,1341.910,1618.061,0
52.985,1.849,5.628,14.357,1213.632,1698.820,0
56.032,1.998,6.081,14.204,114.770,1816.285,0
62.196,1.941,5.646,10.911,1264.472,1796.370,0
67.679,2.131,6.835,15.249,871.450,1740.034,0
55.155,1.990,5.586,14.706,382.704,1861.110,0
53.921,1.510,5.963,12.268,225.949,1696.861,0
64.852,2.546,6.356,14.532,647.713,1789.755,0
55.611,2.100,6.320,11.681,582.236,1787.302,0
59.750,1.447,6.228,13.252,457.908,1817.798,0
69.665,2.489,6.162,13.500,1736.416,1768.001,0
61.737,2.001,6.251,12.234,519.471,1611.617,0
65.842,0.966,6.092,11.516,1782.964,1801.975,0
65.104,2.884,7.063,10.932,65.603,1756.260,0
56.511,2.004,6.181,14.818,940.262,1850.654,0
63.555,0.800,6.012,14.263,863.877,1714.651,0
62.194,2.366,6.220,13.149,1174.479,1739.453,0
58.516,1.470,5.571,16.815,529.239,1738.280,0
67.588,7.563,5.642,14.614,2052.404,1553.622,1
61.701,2.970,6.139,16.442,429.616,1732.250,0
69.258,2.016,4.896,14.611,283.058,1724.099,0
59.598,2.464,5.701,15.622,607.346,1741.447,0
58.954,1.753,6.183,12.201,598.351,1719.153,0
59.569,1.797,5.514,12.931,1235.148,1723.938,0
71.045,2.030,5.574,14.532,1157.727,1777.183,0
55.643,1.845,6.646,15.109,1155.690,1662.404,0
60.180,2.520,6.147,13.032,1706.710,1769.022,0
58.674,1.153,7.102,13.281,645.590,1721.835,0
59.319,2.196,6.711,12.636,1107.509,1728.706,0
65.148,3.307,5.076,15.111,1899.040,1645.825,0
55.483,1.824,5.954,14.177,1634.350,1752.740,0
57.990,2.538,5.342,15.869,1945.324,1689.256,0
66.463,2.017,5.033,13.670,1160.255,1780.608,0
61.933,2.377,5.915,13.653,218.817,1726.967,0
65.643,2.202,6.471,13.792,1922.952,1782.095,0
57.706,0.936,6.130,13.970,535.819,1702.785,0
58.812,1.625,6.274,13.438,9.683,1827.811,0
54.064,1.796,5.576,12.531,1039.785,1731.166,0
58.437,2.450,6.304,13.340,1352.887,1668.311,0
62.964,2.602,6.381,14.040,1745.859,1849.732,0
67.006,1.396,5.920,12.733,1648.321,1742.993,0
64.959,1.839,6.297,12.195,1172.695,1774.360,0
65.369,2.312,6.050,11.063,1497.544,1838.624,0
60.630,2.198,6.248,14.694,1331.811,1754.836,0
61.040,2.184,6.185,13.434,1652.902,1656.799,0
53.765,1.822,5.739,13.921,541.517,1768.246,0
64.394,1.938,6.381,12.161,1558.568,1760.811,0
63.689,2.232,6.033,14.523,822.039,1835.300,0
61.621,1.627,6.155,14.665,217.003,1681.789,0
68.256,1.671,5.996,14.546,1914.641,1779.942,0
66.323,2.584,6.897,16.828,439.056,1775.242,0
54.300,1.736,6.671,13.995,1287.371,1760.266,0
68.376,1.887,6.118,15.662,1673.582,1784.625,0
63.416,1.589,5.937,13.228,1468.962,1648.752,0
56.784,2.505,5.984,11.044,1580.163,1715.617,0
57.012,1.279,5.379,18.375,1399.126,1858.705,0
64.875,2.436,5.606,16.676,927.409,1690.501,0
66.136,2.930,7.277,17.617,714.147,1821.944,0
54.988,1.404,5.800,11.642,1906.237,1701.332,0
66.978,2.326,5.786,13.627,1657.104,1830.953,0
54.728,2.086,6.409,15.188,1143.294,1760.292,0
60.687,2.494,6.342,14.454,4.677,1825.770,0
59.843,1.799,6.692,18.320,1540.782,1761.405,0
63.187,1.930,6.182,13.934,453.827,1674.148,0
63.454,2.559,5.345,16.245,1420.807,1674.631,0
61.490,2.751,6.560,14.805,1473.571,1779.660,0
69.519,1.177,5.812,15.532,481.941,1643.360,0
84.264,2.919,5.331,19.199,1073.723,1599.365,1
60.922,1.904,6.091,11.313,1531.644,1770.338,0
59.677,1.666,5.737,12.503,1316.037,1673.930,0
62.968,2.154,7.273,15.197,1416.475,1677.303,0
49.949,1.993,5.922,12.734,1039.809,1832.565,0
65.483,2.332,5.693,12.698,1961.911,1693.980,0
61.749,1.933,6.223,13.019,1601.181,1711.144,0
56.602,2.652,5.418,13.488,239.805,1746.324,0
72.643,2.713,6.186,13.877,1919.681,1767.183,0
60.191,1.320,6.270,16.482,411.008,1688.113,0
65.490,3.598,5.935,13.890,846.186,1744.031,0
65.457,2.368,5.513,11.874,311.360,1795.484,0
86.889,3.283,4.243,17.960,1992.880,1553.419,1
62.448,3.031,5.856,15.251,1149.467,1774.668,0
55.699,1.917,5.411,12.379,847.907,1801.298,0
63.374,1.869,6.743,15.058,1363.598,1821.793,0
65.283,3.170,6.633,15.268,958.529,1736.307,0
65.367,2.465,5.747,14.356,184.750,1707.749,0
62.378,2.412,6.820,10.375,583.595,1752.434,0
59.549,2.792,5.990,16.768,1127.143,1803.176,0
57.276,1.938,5.743,14.198,54.132,1693.786,0
68.313,2.722,6.376,14.325,632.452,1797.980,0
56.064,1.860,5.736,13.031,839.774,1753.799,0
63.311,2.391,5.280,14.947,1174.648,1799.401,0
54.291,1.160,6.208,14.718,1723.585,1746.639,0
57.858,1.047,5.571,13.742,1350.315,1741.405,0
62.357,2.651,6.270,16.052,657.475,1813.029,0
57.985,1.334,5.846,11.864,122.399,1725.215,0
83.990,2.810,5.299,18.807,1443.258,1642.190,1
54.136,2.249,5.959,12.083,799.165,1748.620,0
62.504,2.657,6.187,16.602,900.767,1656.617,0
57.799,2.371,6.430,14.475,525.850,1804.928,0
56.286,2.414,5.880,15.436,974.809,1713.363,0
65.750,1.673,5.893,14.357,1222.962,1680.198,0
66.034,2.083,6.303,15.454,202.871,1721.775,0
